Centrality Metric,Modularity,Average Conductance,Min Conductance,Max Conductance,Coverage,Number of Communities
closeness,0.4700229400458801,0.39719050439551556,0.13043478260869565,1.0,0.7086614173228346,6
load,0.5493210986421974,0.25809344971557885,0.13043478260869565,0.4418604651162791,0.7677165354330708,7
betweenness,0.5493210986421974,0.25809344971557885,0.13043478260869565,0.4418604651162791,0.7677165354330708,7
degree,0.40882106764213544,0.6974739359332948,0.13043478260869565,1.0,0.7086614173228346,12
subgraph,0.2160626821253642,0.32046637243923326,0.17647058823529413,0.6595744680851063,0.8700787401574803,4
algebraic,0.17478609957219912,0.1737629890835428,0.13043478260869565,0.21052631578947367,0.9566929133858267,3
