Centrality Metric,Modularity,Average Conductance,Min Conductance,Max Conductance,Coverage,Number of Communities
closeness,0.5590881299676828,0.2641855311525984,0.12195121951219512,0.4,0.7476635514018691,6
load,0.590182548694209,0.2143560230577551,0.09090909090909091,0.3333333333333333,0.7850467289719626,6
betweenness,0.5962092759192942,0.2134601470183639,0.09090909090909091,0.3157894736842105,0.7757009345794392,6
degree,0.4748449646257315,0.44708839406207823,0.09090909090909091,1.0,0.6635514018691588,8
subgraph,0.4799545811861297,0.3283715645784611,0.09090909090909091,0.7,0.7009345794392523,6
algebraic,0.4559350161586164,0.14159023824583597,0.11764705882352941,0.16129032258064516,0.8691588785046729,3
