Centrality Metric,Modularity,Average Conductance,Min Conductance,Max Conductance,Coverage,Number of Communities
closeness,0.3814102564102564,0.36111111111111105,0.3333333333333333,0.4,0.6410256410256411,4
load,0.3952169625246548,0.34675925925925927,0.25925925925925924,0.4166666666666667,0.6666666666666666,4
betweenness,0.3952169625246548,0.34675925925925927,0.25925925925925924,0.4166666666666667,0.6666666666666666,4
degree,0.1923898750821827,0.5443181818181818,0.25,1.0,0.6538461538461539,4
subgraph,0.253698224852071,0.42512820512820515,0.25,0.68,0.6538461538461539,4
algebraic,0.16559829059829054,0.4560005742176285,0.25,0.6296296296296297,0.7307692307692307,3
