Centrality Metric,Modularity,Average Conductance,Min Conductance,Max Conductance,Coverage,Number of Communities
closeness,0.48837071318381386,0.2501872656852332,0.125,0.3170731707317073,0.7421383647798742,4
load,0.5202919188323247,0.2171082927764298,0.06382978723404255,0.35135135135135137,0.8113207547169812,4
betweenness,0.5220125786163521,0.21687552590455583,0.06382978723404255,0.3333333333333333,0.8050314465408805,4
degree,0.0,,,,1.0,1
subgraph,0.20641984098730268,0.5345753550687137,0.32903225806451614,0.6818181818181818,0.5345911949685535,4
algebraic,0.10677979510304181,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.9308176100628931,2
