Centrality Metric,Modularity,Average Conductance,Number of Communities
closeness,0.3547675854782466,0.39389133967859613,4
betweenness,0.3950873259557245,0.46192264523985227,7
pagerank,0.18066874668280408,0.7246633953762767,9
degree,0.002001478167270885,0.9393939393939394,3
heatmap,0.0020907634386733423,0.9444444444444444,4
harmonic,0.32167747183793727,0.5409231911302465,8
subgraph,0.25355777005074376,0.5907104401629936,7
laplacian,0.27521192851225934,0.6994875294611044,15
rumor,0.20942356436724022,0.4475770346738089,3
